theta,followerNo,deviation
12.959999999999999,2.0,0.12780381308375732
12.959999999999999,3.0,0.1286295375739246
13.319999999999999,0.0,0.06240153021466455
13.319999999999999,1.0,0.09620572175381414
13.319999999999999,2.0,0.12546398283116966
13.319999999999999,3.0,0.12861482254861922
13.68,0.0,0.061093436887019736
13.68,1.0,0.09341706300728148
13.68,2.0,0.123076423065831
13.68,3.0,0.12840719880817986
14.04,0.0,0.05988010095317087
14.04,1.0,0.09075359896010715
14.04,2.0,0.12065600030719503
14.04,3.0,0.12801877955539975
14.400000000000002,0.0,0.058753378017343705
14.400000000000002,1.0,0.0882126777670511
14.400000000000002,2.0,0.11821612979975615
14.400000000000002,3.0,0.12746194255909193
14.759999999999998,0.0,0.05770581084268933
14.759999999999998,1.0,0.08579118008966402
14.759999999999998,2.0,0.11576884832867851
14.759999999999998,3.0,0.12674917991025136
15.120000000000001,0.0,0.05673057085245059
15.120000000000001,1.0,0.08348561894835949
15.120000000000001,2.0,0.11332489139317703
15.120000000000001,3.0,0.1258929666847508
15.48,0.0,0.05582140457993878
15.48,1.0,0.08129222580290629
15.48,2.0,0.11089377288284474
15.48,3.0,0.12490564744438526
15.839999999999998,0.0,0.054972584654081835
15.839999999999998,1.0,0.07920702448779937
15.839999999999998,2.0,0.10848386573568969
15.839999999999998,3.0,0.12379933940071775
16.200000000000003,0.0,0.054178864940443106
16.200000000000003,1.0,0.07722589445399519
16.200000000000003,2.0,0.10610248234435726
16.200000000000003,3.0,0.1225858510010771
16.560000000000002,0.0,0.05343543948859475
16.560000000000002,1.0,0.07534462461060398
16.560000000000002,2.0,0.10375595372377
16.560000000000002,3.0,0.12127661466587503
16.919999999999998,0.0,0.052737904965826754
16.919999999999998,1.0,0.07355895891812425
16.919999999999998,2.0,0.10144970666411623
16.919999999999998,3.0,0.1198826324046256
17.28,0.0,0.05208222628259884
17.28,1.0,0.07186463475714522
17.28,2.0,0.09918833827204665
17.28,3.0,0.11841443305898647
17.64,0.0,0.0514647051404995
17.64,1.0,0.0702574149818227
17.64,2.0,0.0969756874540082
17.64,3.0,0.11688203995975321
18.0,0.0,0.05088195125523076
18.0,1.0,0.06873311446474317
18.0,2.0,0.09481490302245654
18.0,3.0,0.11529494783676553
18.36,0.0,0.050330856027878346
18.36,1.0,0.06728762184783266
18.36,2.0,0.09270850821129217
18.36,3.0,0.11366210788248488
18.720000000000002,0.0,0.04980856845687387
18.720000000000002,1.0,0.06591691713164272
18.720000000000002,2.0,0.09065846147429735
18.720000000000002,3.0,0.11199191993840785
19.080000000000002,0.0,0.04931247310020548
19.080000000000002,1.0,0.06461708566197766
19.080000000000002,2.0,0.08866621351182635
19.080000000000002,3.0,0.11029223084600392
19.439999999999998,0.0,0.04884016991373019
19.439999999999998,1.0,0.06338432900714053
19.439999999999998,2.0,0.08673276052916923
19.439999999999998,3.0,0.10857033807829808
19.800000000000004,0.0,0.04838945580554754
19.800000000000004,1.0,0.06221497316063096
19.800000000000004,2.0,0.08485869377635757
19.800000000000004,3.0,0.10683299784297695
20.16,0.0,0.047958307760753716
20.16,1.0,0.061105474452062936
20.16,2.0,0.08304424545583822
20.16,3.0,0.10508643692145325
20.52,0.0,0.0475448674023462
20.52,1.0,0.060052423502679586
20.52,2.0,0.08128933111264347
20.52,3.0,0.10333636757977294
20.880000000000003,0.0,0.047147426865886244
20.880000000000003,1.0,0.05905254752068889
20.880000000000003,2.0,0.07959358864296973
20.880000000000003,3.0,0.10158800495573139
21.24,0.0,0.046764415875719445
21.24,1.0,0.0581027111949699
21.24,2.0,0.07795641407231835
21.24,3.0,0.09984608639153336
21.6,0.0,0.04639438992041689
21.6,1.0,0.057199916413289476
21.6,2.0,0.07637699426481714
21.6,3.0,0.09811489224231629
21.96,0.0,0.04603601943287483
21.96,1.0,0.056341301002358346
21.96,2.0,0.0748543367317056
21.96,3.0,0.0963982677477897
22.32,0.0,0.0456880798899284
22.32,1.0,0.055524136661555534
22.32,2.0,0.0733872967100031
22.32,3.0,0.09469964560683053
22.68,0.0,0.04534944275222119
22.68,1.0,0.05474582623962476
22.68,2.0,0.07197460168269343
22.68,3.0,0.0930220689432355
23.04,0.0,0.04501906717265802
23.04,1.0,0.05400390048368453
23.04,2.0,0.0706148735100598
23.04,3.0,0.09136821439491283
23.399999999999995,0.0,0.044695992407685736
23.399999999999995,1.0,0.05329601437237175
23.399999999999995,2.0,0.06930664833812683
23.399999999999995,3.0,0.08974041509890673
23.76,0.0,0.044379330871037626
23.76,1.0,0.05261994312935858
